title,rating,ratingLevel,ratingDescription
Life in Pieces,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Crazy Ex-Girlfriend,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Easy,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110
Haters Back Off,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Kubo and the Two Strings,PG,"thematic elements, scary images, action and peril",60
Skins,TV-MA,,110
A Weekend with the Family,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110
Crazyhead,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110
Queen of Katwe,PG,"thematic elements, an accident scene and some suggestive material",60
Little Boxes,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Deidra & Laney Rob a Train,TV-14,,90
Girlboss,TV-MA,,110
Hot Girls Wanted: Turned On,TV-MA,,110
13 Reasons Why,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110
Hurricane Bianca,TV-MA,,110
Honeytrap,NR,This movie has not been rated.,124
Greenleaf,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Lazy Eye,TV-MA,,110
Like Cotton Twines,NR,,124
The Wedding Party,TV-14,,90
Dave Chappelle,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110
Only for One Night,TV-MA,,110
Boy Bye,TV-MA,,110
Almost Adults,NR,This movie has not been rated.,124
Nancy Drew,PG,Parental guidance suggested. May not be suitable for children.,60
30 Rock,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Nurse Jackie,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110
Parks and Recreation,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Drop Dead Diva,TV-PG,Parental guidance suggested. May not be suitable for all children.,70
Gilmore Girls,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Parenthood,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Life Unexpected,TV-PG,Parental guidance suggested. May not be suitable for all children.,70
Portlandia,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
New Girl,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Don't Trust the B---- in Apartment 23,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Raising Hope,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Being Human (U.S.),TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Friends with Benefits,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
The Carrie Diaries,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Baby Daddy,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Halt and Catch Fire,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
The Angriest Man in Brooklyn,R,Restricted. May be inappropriate for children 17 and under.,100
5 to 7,R,some sexual material,100
Chef's Table,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110
Grace and Frankie,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110
Unbreakable Kimmy Schmidt,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
The Get Down,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110
Sense8,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110
Love,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110
Bordertown,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Girlfriends' Guide to Divorce,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Schitt's Creek,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
The Carmichael Show,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Chelsea,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110
Abstract: The Art of Design,TV-14,,90
Cooper Barrett's Guide to Surviving Life,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
The Great British Baking Show,TV-PG,Parental guidance suggested. May not be suitable for all children.,70
Life in Pieces,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Crazy Ex-Girlfriend,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Fried,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110
The Great Gilly Hopkins,PG,for thematic material and language,60
The Magicians,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110
One Day at a Time,TV-PG,Parental guidance suggested. May not be suitable for all children.,70
No Tomorrow,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Hot Girls Wanted: Turned On,TV-MA,,110
13 Reasons Why,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110
Better Off Single,TV-MA,,110
Sandy Wexler,TV-14,,90
Chewing Gum,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110
The Matchbreaker,PG,Parental guidance suggested. May not be suitable for children.,60
Tramps,TV-MA,,110
Slam,TV-MA,,110
Cheer Squad,TV-PG,,70
Almost Adults,NR,This movie has not been rated.,124
The Waterboy,PG-13,language and some crude sexual humor,80
10 Things I Hate About You,PG-13,"adult content, adult language and mild violence",80
Grease,PG,Parental guidance suggested. May not be suitable for children.,60
How to Lose a Guy in 10 Days,PG-13,some sex-related material,80
The Benchwarmers,PG-13,"crude and suggestive humor, and for language",80
Step Up,PG-13,"thematic elements, brief violence and innuendo",80
High School Musical 2,TV-G,Suitable for all ages.,35
Twilight,PG-13,some violence and one sexual scene,80
Coraline,PG,"thematic elements, scary images, some language and suggestive humor",60
Hannah Montana: The Movie,G,General Audiences. Suitable for all ages.,35
The Office (U.S.),TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Friday Night Lights,TV-PG,Parental guidance suggested. May not be suitable for all children.,70
StarStruck,TV-G,Suitable for all ages.,35
Grey's Anatomy,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Prison Break,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
90210,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
